path,svcId,svcPlugins,albDNS,svcName,k8sSvcName,k8sNameSpace,selectorApp,k8sDeployName
/api/container/core/v1,"8377c5a7-d145-40c2-a48f-afb0f90d8038",;jwt-keycloak;key-auth;cors,"internal-k8s-ingresscontainer-fcc9610877-445198957.us-west-2.elb.amazonaws.com","dev-srv00019-cross-front-contain",ms-container-core,dev-ns-containers,"ms-container-core","ms-container-core"
"/api/cms/v1",ERROR: Mas de un service para el path,,,,,,,
/api/pyme2c/cotizaciones/v1,"b3f77a82-2e32-4cc0-88f9-608c1807e3bc",;key-auth;prometheus;jwt-keycloak;cors,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00012-pyme2c-front-pyme2c",poc-ms-super-app-cotizaciones,dev-ns-super-app,"poc-ms-super-app-cotizaciones",
"/digitacionExpressWS/BXDIG002_express","9ea9e74f-63c4-47ca-86e6-f4701c03f157",,"172.20.83.156",,,,,
/api/cross/supplier/v1,"46658221-e29b-4a97-8e47-38a29eec0efc",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00032-retrieve-supplier",ms-integrations-supplier,dev-ns-legacy,"ms-integrations-supplier","ms-integrations-supplier"
/api/liquidaciones/backend/v1,"228be594-8dc2-4ea9-a943-7c2c2aa3c91a",;cors;key-auth;jwt-keycloak,"internal-k8s-ingressfacturacio-834329051d-19064827.us-west-2.elb.amazonaws.com","dev-srv00027-liquidaciones-backend",poc-micro-liq,dev-ns-liquidaciones,"poc-micro-liq",
/api/fulfillment/order/v1,"e5e20834-e30c-4b87-846d-c781905abcb6",;key-auth;cors;jwt-keycloak,"internal-k8s-ingressfulfillmen-3f78372bcf-2078518940.us-west-2.elb.amazonaws.com","dev-srv00014-fulfill-front-fulfillment",bx-ms-shipedge-orders,dev-ns-fulfillment,"bx-ms-shipedge-orders","bx-ms-shipedge-orders"
/api/container/acklink/v1,"5d1fd827-f167-4fe2-b44a-a20f9f5842fe",;cors;key-auth,"internal-k8s-ingresscontainer-fcc9610877-445198957.us-west-2.elb.amazonaws.com","dev-srv00034-containers-ack",ms-container-ack,dev-ns-containers,"ms-container-ack","ms-container-ack"
/api/universal/login/v1,"d4e9b4b4-46a4-4994-8a8c-9433a784945a",;jwt-keycloak;cors;key-auth,"internal-k8s-ingressuniversal-7a3d7a388f-1530425081.us-west-2.elb.amazonaws.com","dev-srv00060-universal-login",ms-universal-login-backend,dev-ns-universal-app,"ms-universal-login-backend","ms-universal-login-backend"
/api/service/orders/v1,"bd2da6d5-f7c4-427f-a93a-cf5b3587170f",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00039-service-orders",,,,
/api/security/user/v1,"b76b7360-d3ec-42a4-84ea-b34dbe1f6f7b",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00049-security-user",ms-integration-sec,dev-ns-legacy,"ms-integration-sec","ms-integration-sec"
/api/container/label/v1,"efdb7b4c-2867-4ab9-b8de-be9c776522fd",;jwt-keycloak;key-auth;cors,"internal-k8s-ingresscontainer-fcc9610877-445198957.us-west-2.elb.amazonaws.com","dev-srv00020-cross-front-contain",ms-container-label,dev-ns-containers,"ms-container-label","ms-container-label"
/api/cross/pallet/v1,"aaf81daa-ee59-4d68-909b-67811e3435c3",;cors;key-auth;jwt-keycloak,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00050-cross-pallet",ms-integration-info-pallet,dev-ns-legacy,"ms-integration-info-pallet","ms-integration-info-pallet"
/api/cross/booking/v1,"cfa74873-02d3-46a1-bd2c-6bbac89f8739",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00070-cross-booking",ms-integration-booking,dev-ns-legacy,"ms-integration-booking","ms-integration-booking"
/api/pyme2c/emissions/callback,"1aa81400-35f7-48c3-824c-ca0f0a02d45a",;cors,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00037-pyme2c-order",,,,
"/api/customer/v1",ERROR: Mas de un service para el path,,,,,,,
/api/tms/v1/bases,"4267155c-1ca9-445f-9721-9472f4fa021e",;key-auth;jwt-keycloak;cors,"internal-k8s-ingresstmsunivers-2bd05e09c9-2022729164.us-west-2.elb.amazonaws.com","dev-srv00084-tms-bases",ms-srv-tms-universal-bases,dev-ns-tms-universal,"ms-srv-tms-universal-bases","ms-srv-tms-universal-bases"
/status,"0b878d8a-ffce-427d-b06d-27b0e670b639",;prometheus,"localhost","status",,,,
/api/container/notification/v1,"14879d26-29d1-4534-a2dd-ceebb28080c4",;cors,"internal-k8s-ingresscontainer-fcc9610877-445198957.us-west-2.elb.amazonaws.com","dev-srv00023-contain-front-contain",ms-container-notification,dev-ns-containers,"ms-container-notification","ms-container-notification"
/api/pyme2c/tarifario/v1,"51dc5a59-196a-420f-a0c3-cf3b5636f11e",;jwt-keycloak;key-auth;cors,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00009-pyme2c-front-pyme2c",rules-prices,re,"rules-prices","rules-prices"
"/CubicacionServices/BXCB001_CUBICACION_REST/login","afdba0a1-d9fc-4357-a517-e07ad09c5267",;cors;key-auth,"172.20.83.156",,,,,
/api/tms/v1/providers,"e22372a9-8511-48a3-9a90-4f0340f30e42",;key-auth;cors;jwt-keycloak,"internal-k8s-ingresstmsunivers-2bd05e09c9-2022729164.us-west-2.elb.amazonaws.com","dev-srv00090-tms-providers",ms-srv-tms-universal-providers,dev-ns-tms-universal,"ms-srv-tms-universal-providers","ms-srv-tms-universal-providers"
/api/fulfillment/notifications,"90adf811-7deb-42b3-8d25-06c61d4b0668",;cors,"internal-k8s-ingressfulfillmen-3f78372bcf-2078518940.us-west-2.elb.amazonaws.com","dev-srv00030-fulfillment-notifications",ms-fulfillment-socket-publisher,dev-ns-fulfillment,"ms-fulfillment-socket-publisher","ms-fulfillment-socket-publisher"
/api/logistics/refund/v1,"84049a0a-ad59-4147-a2b3-bbf4b1243249",;key-auth;cors,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00055-logistics-refund",ms-logistics-refund,dev-ns-legacy,"ms-logistics-refund","ms-logistics-refund"
"/api/customer/v1",ERROR: Mas de un service para el path,,,,,,,
/api/domain/v1,"f068c4cc-7ff2-444d-89b2-42b5ad6c7c3a",;key-auth;cors;jwt-keycloak,"internal-k8s-igrzlabs-f89ba1c1d6-930636780.us-west-2.elb.amazonaws.com","bx-srv-tmpl-springboot-ojdbc",bx-tmpl-springboot-ojdbc,dev-ns-labs,"bx-tmpl-springboot-ojdbc","bx-tmpl-springboot-ojdbc"
/api/fast/tracking/v1,"8290017f-c911-406f-95e6-352edeb06056",;jwt-keycloak;cors;key-auth,"internal-k8s-ingresstrackingfa-e871bb3fe1-715156709.us-west-2.elb.amazonaws.com","dev-srv00063-tracking-fast",ms-fast-tracking-backend,dev-ns-fast-tracking,"ms-fast-tracking-backend",
"/api/pyme2c/reports/v1",ERROR: Mas de un service para el path,,,,,,,
/api/pyme2c/compensations/v1,"36955539-1b40-4938-abec-329d7a2173a0",;cors;jwt-keycloak;key-auth,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00051-pyme2c-compensations",ms-super-app-compensations,dev-ns-legacy,"ms-super-app-compensations","ms-super-app-compensations"
/api/tms/v1/docs,"5cf1a45b-d303-4886-a084-373baaffe39e",;jwt-keycloak;key-auth;cors,"internal-k8s-ingresstmsunivers-2bd05e09c9-2022729164.us-west-2.elb.amazonaws.com","dev-srv00093-tms-docs",ms-srv-tms-universal-docs,dev-ns-tms-universal,"ms-srv-tms-universal-docs","ms-srv-tms-universal-docs"
/api/fulfillment/user/sync-oms-shipedge/v1,"56f20ba6-53cd-4cbe-8c53-4ae45c4fa0b1",;key-auth;cors;jwt-keycloak,"internal-k8s-ingressfulfillmen-3f78372bcf-2078518940.us-west-2.elb.amazonaws.com","dev-srv00013-fulfill-front-fulfillment",bx-ms-shipedge-credential,dev-ns-fulfillment,"bx-ms-shipedge-credential","bx-ms-shipedge-credential"
/api/fulfillment/order/bulk/v1,"849bf925-bda3-4718-803d-ecd0b7710890",;jwt-keycloak;cors;key-auth,"internal-k8s-ingressfulfillmen-3f78372bcf-2078518940.us-west-2.elb.amazonaws.com","dev-srv00017-fulfill-front-fulfillment",ms-shipedge-orders-publisher,dev-ns-fulfillment,"ms-shipedge-orders-publisher","ms-shipedge-orders-publisher"
/api/stress/echo/v1,"a4131d6f-29a0-4329-a9f2-29e6d82d0a58",;cors;key-auth,"internal-k8s-ingressstresstest-f3e2977e05-56575037.us-east-1.elb.amazonaws.com","dev-srv00029-stress-test-echo",,,,
/api/cross/account/v1,"28f87a5a-9990-4cad-8ae6-42f5a8e0912c",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00042-cross-account",,,,
/api/integrations/emission/v1,"21dfe10b-ca0b-4904-8222-191031cf0468",,"internal-k8s-ingressintegratio-7de34ca4a5-693717382.us-west-2.elb.amazonaws.com","dev-srv00071-integrations-emission",ms-integrations-legacy-emission,dev-ns-legacy,"ms-integrations-legacy-emission","ms-integrations-legacy-emission"
"/api/integrations/moova/v1","5d197700-18a4-43a6-b095-b4535d282dc6",;key-auth;prometheus;ip-restriction;aws-lambda,,,,,,
/api/pyme2c/tracking-panel/v1,"4f84ee4d-3057-45e8-910d-1f2275fcff98",;cors;key-auth;jwt-keycloak,"internal-k8s-ingresspyme2ctrac-fe20ab7535-1795684501.us-west-2.elb.amazonaws.com","dev-srv00067-pyme2c-tracking",ms-super-app-tracking-panel,dev-ns-super-app,"ms-super-app-tracking-panel","ms-super-app-tracking-panel"
/api/retiro/backend/v1,"0b4bada6-c1b8-485a-a143-693c01deb32d",;cors;key-auth;jwt-keycloak,"internal-k8s-ingressretiro-d3713bcaee-75435105.us-west-2.elb.amazonaws.com","dev-srv00088-retrieve-backend",ms-retiro-backend,dev-ns-retiro,"ms-retiro-backend","ms-retiro-backend"
"/api/pyme2c/reports/v1",ERROR: Mas de un service para el path,,,,,,,
/api/pyme2c/backend/v1,"db8e306b-0e93-42b6-afa3-82790788c4f5",;cors;key-auth,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00006-pyme2c-front-pyme2c",poc-ms-super-app-backend,dev-ns-super-app,"poc-ms-super-app-backend","poc-ms-super-app-backend"
